Country Name,Indicator Name,2005,2006,2007,2008,2009,2010,2011,2012,2013
"Ambon, Kota",Agriculture function expenditure (in IDR),7762498732,12004765521,,16516622498,,10378932935,12139013247,,
"Ambon, Kota","Average National Exam Score: Junior Secondary Level (out of 100, available only in district level for 2009)",,,,,75.74576,,,,
"Ambon, Kota","Average National Exam Score: Primary Level (out of 100, available only in district level for 2009)",,,,,68.43711,,,,
"Ambon, Kota","Average National Exam Score: Senior Secondary Level (out of 100, available only in district level for 2009)",,,,,74.93961,,,,
"Ambon, Kota",Birth attended by Skilled Health worker (in % of total birth),83.6478,85.2437,83.64101,72.19425,82.64133,92.12272,79.94722,82.2945,86.973526
"Ambon, Kota",BPK Audit Report on Sub-National Budget,2,4,2,4,4,,,,
"Ambon, Kota",Capital expenditure (in IDR),27314334935,71990608093,,1.45E+11,,69215269438,97459833541,1.11E+11,1.05E+11
"Ambon, Kota",Consumer Price Index in 42 cities base 1996,,,,,,,,,
"Ambon, Kota",Consumer Price Index in 45 cities base 2002,117.8341667,133.6291667,140.2533333,,,,,,
"Ambon, Kota",Consumer Price Index in 66 cities base 2007,,,100,112.31,117.96,123.1483333,130.1933333,139.7291667,147.7433333
"Ambon, Kota",Economy function expenditure (in IDR),3414418639,4393059036,,7713517664,,5975811862,7864686826,,
"Ambon, Kota",Education function expenditure (in IDR),1.26E+11,1.51E+11,,2.38E+11,,2.94E+11,3.61E+11,,
"Ambon, Kota",Environment function expenditure (in IDR),5655607163,,,21408139682,,17074848370,17132676665,,
"Ambon, Kota","Export: Animals and vegetable oil, fat and waxes (province Level, in USD)",,,,,,,,,
"Ambon, Kota","Export: Beverages and tobacco (province Level, in USD)",,,,,,,,,
"Ambon, Kota","Export: Chemical and related products, nes (province Level, in USD)",,,,,,,,,
"Ambon, Kota","Export: Commodities and transaction not elsewhere classified (province Level, in USD)",,,,,,,,,
"Ambon, Kota","Export: Crude materials, inedible, except fuels (province Level, in USD)",,,,,,,,,
"Ambon, Kota","Export: Food and Live Animals (province Level, in USD)",,,,,,,,,
"Ambon, Kota","Export: Machinery and transport equipment (province Level, in USD)",,,,,,,,,
"Ambon, Kota","Export: Manufactured goods, classified chiefly by material (province Level, in USD)",,,,,,,,,
"Ambon, Kota","Export: Mineral fuels, lubricants and related materials (province Level, in USD)",,,,,,,,,
"Ambon, Kota","Export: Miscellaneous manufactures articles (province Level, in USD)",,,,,,,,,
"Ambon, Kota",GDP expenditure on changes in stock (in IDR Million),,,,,,,,,
"Ambon, Kota",GDP expenditure on exports (in IDR Million),,,,,,,,,
"Ambon, Kota",GDP expenditure on general government consumption (in IDR Million),,,,,,,,,
"Ambon, Kota",GDP expenditure on gross fixed capital formation (in IDR Million),,,,,,,,,
"Ambon, Kota",GDP expenditure on imports (in IDR Million),,,,,,,,,
"Ambon, Kota",GDP expenditure on non profit private institution consumption (in IDR Million),,,,,,,,,
