Nama Provinsi,Kode Provinsi,P di bawah 6 tahun,L di bawah 6 tahun,TOTAL di bawah 6 tahun,P  6 - di bawah 15 tahun,L  6 - di bawah 15 tahun,TOTAL 6 - di bawah 15 tahun,P 15 - di bawah 45 tahun,L 15 - di bawah 45 tahun,TOTAL 15 - di bawah 45 tahun,P 45 - di bawah 60 tahun,L 45 - di bawah 60 tahun,TOTAL 45 - di bawah 60 tahun,P di atas 60  tahun,Ldi atas 60  tahun,TOTAL di atas 60  tahun,GRAND TOTAL
ACEH,11,104159,112218,216377,191224,202588,393812,426896,415593,842489,92814,98948,191762,53728,43279,97007,1741447
SUMATERA UTARA,12,263715,284691,548406,454899,486555,941454,857867,871499,1729366,212693,205374,418067,121435,86673,208108,3845401
SUMATERA BARAT,13,88353,94831,183184,160677,174997,335674,299890,299387,599277,83209,87371,170580,53149,40009,93158,1381873
RIAU,14,74358,79619,153977,132685,142026,274711,278569,288358,566927,56621,62647,119268,29459,25523,54982,1169865
JAMBI,15,44830,47918,92748,79440,86279,165719,183020,185869,368889,43958,45556,89514,28396,24056,52452,769322
SUMATERA SELATAN,16,115846,124670,240516,222457,239428,461885,501490,529253,1030743,116441,128594,245035,69452,61133,130585,2108764
BENGKULU,17,33373,35597,68970,56918,61581,118499,131746,137339,269085,28587,31433,60020,18839,17077,35916,552490
LAMPUNG,18,151003,162928,313931,259591,279866,539457,632863,674933,1307796,148407,165835,314242,102839,98772,201611,2677037
KEPULAUAN BANGKA BELITUNG,19,10556,11155,21711,19860,20807,40667,39462,43249,82711,11451,11156,22607,10689,7273,17962,185658
KEPULAUAN RIAU,21,22320,24347,46667,32522,35097,67619,73860,75136,148996,14019,16818,30837,6889,6667,13556,307675
DKI JAKARTA,31,61687,66500,128187,118134,127234,245368,291075,305324,596399,87255,88288,175543,36399,29733,66132,1211629
JAWA BARAT,32,650405,702777,1353182,1281869,1382556,2664425,2997993,3200887,6198880,906429,948644,1855073,622746,547534,1170280,13241840
JAWA TENGAH,33,560613,600752,1161365,1018807,1092823,2111630,2743141,2835386,5578527,989620,951848,1941468,823560,694124,1517684,12310674
D I YOGYAKARTA,34,57269,60646,117915,92428,97450,189878,272789,276684,549473,121274,113304,234578,127201,98094,225295,1317139
JAWA TIMUR,35,480373,511511,991884,957308,1035698,1993006,2847448,2861871,5709319,1154221,1089521,2243742,960796,735941,1696737,12634688
BANTEN,36,141855,154224,296079,283960,310669,594629,673536,718195,1391731,171240,190825,362065,87294,83395,170689,2815193
BALI,51,44629,48071,92700,79453,81051,160504,189336,192282,381618,56445,55776,112221,49715,44472,94187,841230
NUSA TENGGARA BARAT,52,125856,134769,260625,193692,205801,399493,479894,429717,909611,119238,112054,231292,76030,67039,143069,1944090
NUSA TENGGARA TIMUR,53,178547,191584,370131,282604,304703,587307,463192,431854,895046,120479,126303,246782,72611,69875,142486,2241752
KALIMANTAN BARAT,61,65494,69536,135030,129389,138447,267836,272902,294127,567029,66912,71711,138623,36877,35506,72383,1180901
KALIMANTAN TENGAH,62,22321,23507,45828,42656,46432,89088,87967,93752,181719,21838,24299,46137,12777,13162,25939,388711
KALIMANTAN SELATAN,63,36694,39263,75957,69232,75283,144515,157477,164207,321684,47158,44081,91239,35971,24366,60337,693732
KALIMANTAN TIMUR,64,39352,42801,82153,74840,80882,155722,163814,181268,345082,45186,50596,95782,22768,24533,47301,726040
SULAWESI UTARA,71,41894,45276,87170,74288,80913,155201,165636,182403,348039,46582,53920,100502,27357,24272,51629,742541
SULAWESI TENGAH,72,70434,75113,145547,113861,121809,235670,225484,234784,460268,47720,54566,102286,26526,26809,53335,997106
SULAWESI SELATAN,73,153614,163986,317600,254431,272388,526819,550337,538878,1089215,145227,131444,276671,115993,85843,201836,2412141
SULAWESI TENGGARA,74,67385,71794,139179,96377,103980,200357,188117,189575,377692,37888,39140,77028,24803,21893,46696,840952
GORONTALO,75,26620,28342,54962,47195,50105,97300,102189,107929,210118,25233,26988,52221,12630,11601,24231,438832
SULAWESI BARAT,76,32769,34793,67562,50901,54267,105168,91047,88686,179733,18048,18733,36781,12243,10882,23125,412369
MALUKU,81,50189,54304,104493,84170,91685,175855,141437,142156,283593,37411,39403,76814,19458,20684,40142,680897
MALUKU UTARA,82,21815,23757,45572,37902,41201,79103,69269,71239,140508,15739,17670,33409,7601,7866,15467,314059
PAPUA BARAT,91,30484,32573,63057,43298,47900,91198,101350,106103,207453,21723,24224,45947,6914,8955,15869,423524
PAPUA,94,120890,135893,256783,210780,254265,465045,499559,502076,1001635,73468,104928,178396,14629,21107,35736,1937595
TOTAL, ,3989702,4289746,8279448,7247848,7826766,15074614,17200652,17669999,34870651,5184534,5231998,10416532,3727774,3118148,6845922,75487167
