Nama Provinsi,Kode Provinsi,Pertanian tanaman padi & palawija,Hortikultura,Perkebunan,Perikanan tangkap,Perikanan budidaya,Peternakan,Kehutanan/ pertanian lainnya,Pertambangan/ penggalian,Industri pengolahan,Listrik dan gas,Bangunan/ konstruksi,Perdagangan,Hotel dan rumah makan,Transportasi dan pergudangan,Informasi & komunikasi,Keuangan dan asuransi,Jasa,Lainnya,TOTAL
ACEH,11,390820,16366,136829,22899,3536,3861,4469,2394,12587,940,35856,37154,1207,14071,328,230,30645,31132,745324
SUMATERA UTARA,12,538373,60229,385752,62538,1912,8394,14394,6712,57614,2163,95348,94520,7073,61395,1336,958,110085,79153,1587949
SUMATERA BARAT,13,227164,21223,78856,10987,967,8760,7337,5087,20799,745,31721,43102,4169,16857,488,396,32839,20573,532070
RIAU,14,40962,3315,194721,16709,521,1618,10617,2093,13084,579,28149,26697,1790,12032,415,310,34992,34434,423038
JAMBI,15,60236,8736,144507,5317,441,1368,3143,4109,5910,456,20844,21259,1304,9062,303,215,17879,14493,319582
SUMATERA SELATAN,16,256868,4885,379659,10283,2047,1683,8858,5579,24382,985,58115,46324,3124,24956,570,453,46448,38700,913919
BENGKULU,17,66884,7529,133989,2589,258,940,1343,2957,3743,275,12646,14534,573,3992,159,156,11211,8051,271829
LAMPUNG,18,480582,15479,309072,16001,5315,19786,7412,6628,52764,1353,66356,71080,4008,29515,724,609,72624,45520,1204828
KEPULAUAN BANGKA BELITUNG,19,1736,480,23868,5322,78,283,1053,18104,1705,80,4288,4883,431,1136,72,50,5013,2719,71301
KEPULAUAN RIAU,21,1320,529,8262,18032,320,391,1607,1301,14412,324,15014,8387,1984,4972,253,148,9746,11595,98597
DKI JAKARTA,31,1331,427,1024,4658,632,637,368,860,57140,2132,29945,93732,22119,38423,3735,3101,115907,39034,415205
JAWA BARAT,32,1529226,109524,87856,46016,10397,63946,32445,33800,590303,8566,474533,668693,46511,202619,5851,5211,455721,362988,4734206
JAWA TENGAH,33,2137715,205381,213442,80917,9637,147430,60064,48757,873253,7721,591509,634993,63298,133017,4733,6209,535778,258576,6012430
D I YOGYAKARTA,34,270235,11326,12447,983,716,43277,5182,7265,89060,1470,76220,97190,11109,13848,1896,1248,72055,18854,734381
JAWA TIMUR,35,2536581,106039,652908,87039,15273,503739,109957,42241,481447,8679,435223,512404,49109,139985,4143,6563,398669,323684,6413683
BANTEN,36,345008,8876,27635,17104,1135,7143,8313,8863,163894,2940,65475,97356,5746,49569,1085,1014,99825,73611,984592
BALI,51,87891,15664,33055,6322,2012,78514,3317,2768,57069,636,55822,46882,11448,7891,485,1956,35844,14250,461826
NUSA TENGGARA BARAT,52,270647,21044,118333,20206,3873,51279,11828,19464,55805,1009,51840,65071,1983,28878,451,1037,48227,25794,796769
NUSA TENGGARA TIMUR,53,746185,34073,99891,17570,8534,10105,24869,9016,43887,760,16104,14880,673,16991,134,208,15197,24822,1083899
KALIMANTAN BARAT,61,223178,5448,205773,15813,420,2319,11745,10504,7374,804,26839,13752,1905,5046,236,256,17181,28681,577274
KALIMANTAN TENGAH,62,58095,2205,64220,8717,290,870,6186,7966,1887,144,7647,5747,309,1604,86,55,5539,9665,181232
KALIMANTAN SELATAN,63,132625,2380,44391,14269,1047,2452,4961,8401,17868,298,19553,22312,2189,6628,204,165,24888,10234,314865
KALIMANTAN TIMUR,64,86813,4067,40125,16674,5444,1449,5738,8291,5259,687,21925,20845,1622,8178,486,441,21637,25328,275009
SULAWESI UTARA,71,66419,10182,41834,16321,606,1069,5744,8579,9889,623,27396,17961,3111,17204,405,630,21168,17060,266201
SULAWESI TENGAH,72,122103,10053,136161,20469,5652,1090,8911,8637,10590,501,20185,16478,1224,10357,199,243,19891,12626,405370
SULAWESI SELATAN,73,407803,20744,130262,34303,27348,16891,3258,5808,46732,1036,63268,48978,2799,37939,436,513,33417,29567,911102
SULAWESI TENGGARA,74,108425,6971,104324,25993,16614,2535,6902,8418,14672,322,18780,23064,723,11359,184,221,12906,6748,369161
GORONTALO,75,77341,5779,10195,8460,394,381,1204,6098,8383,171,9160,11070,812,9266,93,298,15391,5978,170474
SULAWESI BARAT,76,40416,1976,81548,7991,1725,5524,661,1207,12062,92,6223,8515,323,4109,31,63,5126,1561,179153
MALUKU,81,104244,14879,51394,13673,13436,708,12894,1248,9255,170,7515,11025,550,9006,139,190,7656,5949,263931
MALUKU UTARA,82,29803,10366,57614,4575,727,203,2551,1682,1480,125,4483,4288,315,4723,43,99,3506,4150,130733
PAPUA BARAT,91,64533,21345,15971,18590,217,451,9234,2231,2977,298,8182,9966,492,6308,169,150,10638,3936,175688
PAPUA,94,813803,51817,42188,34436,388,5640,45112,6201,3460,326,11204,17588,690,11152,280,273,19552,11796,1075906
TOTAL, ,12325365,819337,4068106,691776,141912,994736,441677,313269,2770746,47410,2417368,2830730,254723,952088,30152,33669,2367201,1601262,33101527
