kode_provinsi,nama_provinsi,tahun,laju_pertumbuhan,latitude,longitude
11,Prov. Nanggroe Aceh Darussalam,2004,2.28,5.55,95.31667
12,Prov. Sumatera Utara,2004,5.34,3.583333,98.66666
13,Prov. Sumatera Barat,2004,1.69,-0.95,100.3531
14,Prov. Riau,2004,5.17,0.4816667,101.4686
15,Prov. Jambi,2004,0.84,-1.589167,103.61
16,Prov. Sumatera Selatan,2004,2.91,-2.990833,104.7567
17,Prov. Bengkulu,2004,0.37,-3.795556,102.2592
18,Prov. Lampung,2004,1.63,-5.429722,105.2625
19,Prov. Kepulauan Bangka Belitung,2004,0.53,-2.1,106.1
21,Prov. Kepulauan Riau,2004,1.66,1.083333,104.4833
31,Prov. DKI Jakarta,2004,16.99,-6.183333,106.8333
32,Prov. Jawa Barat,2004,13.83,-6.914722,107.6097
33,Prov. Jawa Tengah,2004,8.75,-6.966667,110.4167
34,Prov. D I Yogyakarta,2004,1,-7.801389,110.3644
35,Prov. Jawa Timur,2004,15.43,-7.266667,112.7167
36,Prov. Banten,2004,3.33,-6.12,106.1503
51,Prov. Bali,2004,1.31,-8.65,115.2167
52,Prov. Nusa Tenggara Barat,2004,1,-8.583333,116.1167
53,Prov. Nusa Tenggara Timur,2004,0.59,-10.18333,123.5833
61,Prov. Kalimantan Barat,2004,1.35,-0.0166667,109.3333
62,Prov. Kalimantan Tengah,2004,0.83,-2.21,113.92
63,Prov. Kalimantan Selatan,2004,1.27,-3.314444,114.5925
64,Prov. Kalimantan Timur,2004,6.05,-0.5022222,117.1536
71,Prov. Sulawesi Utara,2004,0.71,1.493056,124.8414
72,Prov. Sulawesi Tengah,2004,0.66,-0.9,119.8333
73,Prov. Sulawesi Selatan,2004,2.02,-5.133333,119.4167
74,Prov. Sulawesi Tenggara,2004,0.46,-3.9675,122.5947
75,Prov. Gorontalo,2004,0.13,0.5333334,123.0667
76,Prov. Sulawesi Barat,2004,0.17,-2.668611,118.8622
81,Prov. Maluku,2004,0.18,-3.7,128.1667
82,Prov. Maluku Utara,2004,0.11,0.7833334,127.3667
91,Prov. Papua Barat,2004,0.3,-0.8666667,134.0833
94,Prov. Papua,2004,1.12,-2.533056,140.7169
11,Prov. Nanggroe Aceh Darussalam,2005,2.13,5.55,95.31667
12,Prov. Sumatera Utara,2005,5.23,3.583333,98.66666
13,Prov. Sumatera Barat,2005,1.67,-0.95,100.3531
14,Prov. Riau,2005,5.21,0.4816667,101.4686
15,Prov. Jambi,2005,0.84,-1.589167,103.61
16,Prov. Sumatera Selatan,2005,3.05,-2.990833,104.7567
17,Prov. Bengkulu,2005,0.38,-3.795556,102.2592
18,Prov. Lampung,2005,1.53,-5.429722,105.2625
19,Prov. Kepulauan Bangka Belitung,2005,0.53,-2.1,106.1
21,Prov. Kepulauan Riau,2005,1.54,1.083333,104.4833
31,Prov. DKI Jakarta,2005,16.25,-6.183333,106.8333
32,Prov. Jawa Barat,2005,14.58,-6.914722,107.6097
33,Prov. Jawa Tengah,2005,8.78,-6.966667,110.4167
34,Prov. D I Yogyakarta,2005,0.95,-7.801389,110.3644
35,Prov. Jawa Timur,2005,15.11,-7.266667,112.7167
36,Prov. Banten,2005,3.17,-6.12,106.1503
51,Prov. Bali,2005,1.27,-8.65,115.2167
52,Prov. Nusa Tenggara Barat,2005,0.96,-8.583333,116.1167
53,Prov. Nusa Tenggara Timur,2005,0.55,-10.18333,123.5833
61,Prov. Kalimantan Barat,2005,1.27,-0.0166667,109.3333
62,Prov. Kalimantan Tengah,2005,0.79,-2.21,113.92
63,Prov. Kalimantan Selatan,2005,1.19,-3.314444,114.5925
64,Prov. Kalimantan Timur,2005,6.75,-0.5022222,117.1536
71,Prov. Sulawesi Utara,2005,0.7,1.493056,124.8414
72,Prov. Sulawesi Tengah,2005,0.64,-0.9,119.8333
73,Prov. Sulawesi Selatan,2005,1.94,-5.133333,119.4167
74,Prov. Sulawesi Tenggara,2005,0.49,-3.9675,122.5947
75,Prov. Gorontalo,2005,0.13,0.5333334,123.0667
76,Prov. Sulawesi Barat,2005,0.17,-2.668611,118.8622
